"REMOTE"," STATION","FF","SEN/DIS"," 7-D AFAS UNL","30-D AFAS/RMF UNL","JOINT RR TKT","7-D UNL","30-D UNL","14-D RFM UNL","1-D UNL","14-D UNL","7D-XBUS PASS","TCMC","LIB SPEC SEN","RR UNL NO TRADE","TCMC ANNUAL MC","MR EZPAY EXP","MR EZPAY UNL","PATH 2-T","AIRTRAIN FF","AIRTRAIN 30-D","AIRTRAIN 10-T","AIRTRAIN MTHLY","STUDENTS","                                                                                          "
"R217","HOYT ST-SCHERMERHORN ST       ",23985,1119,146,288,3,9338,13538,0,0,0,0,63,0,8,663,117,134,0,138,0,0,0,2353,"                                                                                                                               "
"R218","ELMHURST AVE-BROADWAY         ",26398,2074,165,655,8,8946,30036,0,0,0,0,85,0,24,1090,66,129,0,81,0,0,0,4525,"                                                                                                                               "
"R219","67TH AVENUE-QUEENS BLVD       ",20782,2321,94,538,9,3271,17245,0,0,0,0,273,0,24,935,256,143,0,66,0,0,0,5470,"                                                                                                                               "
"R220","CARROLL ST-PRESIDENT ST       ",30092,1119,96,238,7,7417,26158,0,0,0,0,295,0,23,1060,399,266,0,248,0,0,0,4255,"                                                                                                                               "
"R221","167TH STREET-RIVER AVENUE     ",19404,632,88,216,0,14390,9682,0,0,0,0,23,0,8,834,33,22,0,68,0,0,0,5574,"                                                                                                                               "
"R222","177TH STREET-PARKCHESTER      ",29351,1514,203,478,0,15188,19275,0,0,0,0,145,0,6,1625,110,76,0,67,0,0,0,5965,"                                                                                                                               "
"R223","46TH ST-BLISS ST              ",28503,1593,137,506,1,13794,27663,0,0,0,0,99,0,34,1022,198,230,0,77,0,0,0,3962,"                                                                                                                               "
"R224","CLARK STREET-HENRY STREET     ",12648,1415,67,234,19,3281,11525,0,0,0,0,150,0,46,428,192,131,0,119,0,0,0,566,"                                                                                                                               "
"R225","HOYT STREET-HOYT STREET       ",8831,530,102,150,14,4933,5025,0,0,0,0,19,0,43,334,30,42,0,32,0,0,0,2465,"                                                                                                                               "
"R226","GUN HILL ROAD-SEYMOUR         ",13425,508,97,165,1,5924,5369,0,0,0,0,85,0,1,558,54,16,0,42,0,0,0,3095,"                                                                                                                               "
"R227","RECTOR STREET-CHURCH STREET   ",21157,938,55,200,9,4972,13366,0,0,0,0,272,0,67,538,312,170,0,166,0,0,0,822,"                                                                                                                               "
"R228","AVENUE J-EAST 16TH STREET     ",11794,1053,96,365,7,4322,9036,0,0,0,0,109,0,5,254,103,46,0,27,0,0,0,3362,"                                                                                                                               "
"R229","AVENUE M-EAST 16TH STREET     ",10756,1006,76,309,8,2884,6833,0,0,0,0,102,0,8,210,139,45,0,16,0,0,0,8029,"                                                                                                                               "
"R230","NECK ROAD-EAST 16TH STREET    ",8799,793,25,281,10,1216,7070,0,0,0,0,127,0,0,233,118,40,0,14,0,0,0,1701,"                                                                                                                               "
"R231","UNION STREET-4TH AVENUE       ",15675,663,86,140,2,4354,14327,0,0,0,0,150,0,11,668,212,141,0,138,0,0,0,1321,"                                                                                                                               "
"R232","45TH STREET-4TH AVENUE        ",17920,831,75,254,0,6610,9024,0,0,0,0,48,0,14,284,27,78,0,55,0,0,0,3498,"                                                                                                                               "
"R233","53RD STREET-4TH AVENUE        ",18122,781,83,252,10,6568,9732,0,0,0,0,28,0,7,252,43,51,0,38,0,0,0,3564,"                                                                                                                               "
"R234","50TH STREET-NEW UTRECHT AVE   ",7973,633,59,179,9,1919,3986,0,0,0,0,47,0,11,67,55,7,0,12,0,0,0,1150,"                                                                                                                               "
"R235","BEDFORD AVE-NORTH 7TH ST      ",58516,821,88,321,30,17428,52043,0,0,0,0,275,0,60,1812,489,499,0,653,0,0,0,4919,"                                                                                                                               "
"R236","DEKALB AVE-WYCKOFF AVE        ",24505,743,82,248,12,11059,17505,0,0,0,0,79,0,18,673,74,123,0,102,0,0,0,3609,"                                                                                                                               "
"R237","182ND STREET-183RD STREET     ",10740,391,56,96,4,5871,3687,0,0,0,0,12,0,5,266,14,11,0,23,0,0,0,2447,"                                                                                                                               "
"R238","STEINWAY ST-BROADWAY          ",31448,1388,171,481,8,11700,29467,0,0,0,0,167,0,27,1224,216,159,0,130,0,0,0,5322,"                                                                                                                               "
"R239","GREENPOINT AVE                ",18851,897,62,378,3,5871,15442,0,0,0,0,83,0,22,562,137,152,0,133,0,0,0,1685,"                                                                                                                               "
"R240","GRAND ST-CHRISTIE ST          ",44474,7494,216,4128,60,8570,53260,0,0,0,0,323,0,80,1274,257,184,0,301,0,0,0,7042,"                                                                                                                               "
"R241","15TH ST-PROSPECT PARK WEST    ",12642,646,50,241,0,3000,13223,0,0,0,0,125,0,0,631,203,160,0,73,0,0,0,2377,"                                                                                                                               "
"R242","18TH AVE-MCDONALD AVE         ",9685,653,56,277,6,3146,5885,0,0,0,0,49,0,2,133,79,14,0,16,0,0,0,1795,"                                                                                                                               "
"R243","170TH STREET-JEROME AVENUE    ",19682,782,107,248,3,14172,8264,0,0,0,0,29,0,1,663,17,24,0,74,0,0,0,5754,"                                                                                                                               "
"R244","BURNSIDE AVE-JEROME AVE       ",23355,887,178,335,2,16187,10440,0,0,0,0,58,0,6,679,33,36,0,53,0,0,0,5024,"                                                                                                                               "
"R245","ST LAWRENCE AVE-WEST AVE      ",10704,349,42,67,0,5723,3504,0,0,0,0,47,0,1,221,10,7,0,18,0,0,0,2164,"                                                                                                                               "
"R246","PROSPECT AVENUE-4TH AVENUE    ",10824,332,70,119,6,3415,11003,0,0,0,0,55,0,9,484,160,136,0,51,0,0,0,1308,"                                                                                                                               "
"R247","55TH ST-NEW UTRECHT AVE       ",5105,422,16,135,4,1385,2172,0,0,0,0,30,0,8,24,21,3,0,7,0,0,0,460,"                                                                                                                               "
"R248","1ST AVENUE-14TH STREET        ",54866,2374,185,568,45,14486,40017,0,0,0,0,319,0,100,1951,527,416,0,540,0,0,0,8564,"                                                                                                                               "
"R249","GRAHAM AVE-METROPOLITAN AVE   ",20131,468,38,167,21,6802,22880,0,0,0,0,103,0,14,922,140,223,0,167,0,0,0,1434,"                                                                                                                               "
"R250","GRAND ST-BUSHWICK AVE         ",11397,448,82,259,1,5968,11032,0,0,0,0,23,0,13,377,37,33,0,56,0,0,0,7698,"                                                                                                                               "
"R251","96TH ST-CENTRAL PARK WEST     ",16658,2129,119,494,12,6272,18027,0,0,0,0,206,0,92,823,315,229,0,104,0,0,0,2126,"                                                                                                                               "
"R252","HIGH ST-CADMAN PLAZA WEST     ",18055,953,85,203,11,6169,13531,0,0,0,0,160,0,65,467,223,176,0,259,0,0,0,1196,"                                                                                                                               "
"R253","174TH-175TH ST-GRAND CONCOU   ",10860,460,80,149,2,6209,5031,0,0,0,0,15,0,11,246,9,28,0,26,0,0,0,2173,"                                                                                                                               "
"R254","GRAND AVE-QUEENS BOULEVARD    ",29552,1772,147,630,8,13304,34727,0,0,0,0,166,0,19,1282,209,182,0,96,0,0,0,5773,"                                                                                                                               "
"R255","VAN WYCK BLVD-MAIN STREET     ",11331,731,40,193,4,3080,9052,0,0,0,0,106,0,9,480,154,52,0,41,0,0,0,2505,"                                                                                                                               "
"R256","NASSAU AVE-MANHATTAN AVE      ",17874,697,96,312,11,4814,15648,0,0,0,0,126,0,9,536,138,131,0,119,0,0,0,2946,"                                                                                                                               "
"R257","EAST BROADWAY-MADISON ST      ",26970,2553,144,959,30,6907,22716,0,0,0,0,172,0,32,1375,187,121,0,132,0,0,0,6047,"                                                                                                                               "
"R258","4TH AVENUE-9TH STREET         ",27019,1188,117,414,14,9966,25306,0,0,0,0,157,0,26,1125,332,289,0,201,0,0,0,4214,"                                                                                                                               "
"R259","ROOSEVELT ISLAND              ",10826,1544,182,537,15,4139,14162,0,0,0,0,59,0,51,1627,106,223,0,74,0,0,0,1937,"                                                                                                                               "
"R260","181ST STREET-ST NICHOLAS AV   ",17235,1102,161,270,1,12254,9789,0,0,0,0,17,0,5,581,54,42,0,34,0,0,0,4091,"                                                                                                                               "
"R261","40TH STREET-LOWERY STREET     ",22133,1445,114,391,11,8036,21487,0,0,0,0,103,0,46,1064,140,169,0,91,0,0,0,4936,"                                                                                                                               "
"R262","BEVERLEY ROAD -EAST 15TH ST   ",6837,335,56,116,5,2658,4873,0,0,0,0,32,0,15,235,58,33,0,23,0,0,0,1996,"                                                                                                                               "
"R263","AVENUE H-EAST 16TH STREET     ",6146,479,45,195,16,2060,4487,0,0,0,0,33,0,2,211,53,39,0,23,0,0,0,1432,"                                                                                                                               "
"R264","OCEAN PKWAY-BRIGHTON BCH AV   ",7371,1025,50,221,10,1453,3868,0,0,0,0,77,0,4,134,58,17,0,35,0,0,0,3465,"                                                                                                                               "
"R265","MONTROSE AVENUE               ",13311,492,41,96,11,5799,12134,0,0,0,0,40,0,9,483,41,61,0,80,0,0,0,4245,"                                                                                                                               "
"R266","HALSEY STREET-WYCKOFF AVE     ",16882,450,50,161,7,7399,10122,0,0,0,0,56,0,0,402,30,54,0,84,0,0,0,3027,"                                                                                                                               "
"R267","46TH STREET-BROADWAY          ",20202,1045,99,218,0,6619,18215,0,0,0,0,152,0,40,717,136,129,0,53,0,0,0,5145,"                                                                                                                               "
"R268","METROPOLITAN AVE-LORIMER ST   ",28650,524,83,200,6,10363,30196,0,0,0,0,125,0,18,1039,193,264,0,257,0,0,0,4063,"                                                                                                                               "
"R269","BEDFORD AVENUE-NOSTRAND AVE   ",13454,338,73,113,0,6787,11269,0,0,0,0,58,0,7,432,99,125,0,83,0,0,0,2251,"                                                                                                                               "
"R271","AVENUE X-MCDONALD AVENUE      ",5954,480,24,210,2,1496,4035,0,0,0,0,27,0,0,136,52,17,0,14,0,0,0,1001,"                                                                                                                               "
"R272","28TH STREET-7TH AVENUE        ",35455,2277,163,529,92,12351,25142,0,0,0,0,257,0,218,1169,414,207,0,233,0,0,0,1026,"                                                                                                                               "
"R273","145TH STREET-BROADWAY         ",17161,923,203,393,10,13503,15384,0,0,0,0,39,0,0,721,77,94,0,63,0,0,0,3667,"                                                                                                                               "
"R274","191ST STREET-ST NICHOLAS AV   ",13764,1064,127,212,1,7449,8767,0,0,0,0,45,0,2,761,44,61,0,54,0,0,0,6630,"                                                                                                                               "
"R275","183RD STREET-JEROME AVENUE    ",15729,462,82,132,0,9487,5274,0,0,0,0,11,0,2,313,14,17,0,27,0,0,0,3907,"                                                                                                                               "
"R276","JACKSON AVENUE-VERNON BLVD    ",25460,1013,26,212,37,6583,25315,0,0,0,0,238,0,153,1137,578,346,0,172,0,0,0,857,"                                                                                                                               "
"R277","PRESIDENT ST-NOSTRAND AVE     ",6663,354,79,93,2,3297,4997,0,0,0,0,10,0,0,275,36,36,0,17,0,0,0,3198,"                                                                                                                               "
"R278","25TH STREET-4TH AVENUE        ",6909,208,16,53,1,3259,5253,0,0,0,0,16,0,11,168,53,66,0,38,0,0,0,672,"                                                                                                                               "
"R279","JEFFERSON STREET-WYCKOFF AV   ",13632,274,70,84,3,6165,10740,0,0,0,0,32,0,0,240,44,110,0,60,0,0,0,1491,"                                                                                                                               "
"R280","190TH STREET-OVERLOOK TERR    ",9682,839,78,306,7,4196,10245,0,0,0,0,69,0,10,448,72,105,0,62,0,0,0,2029,"                                                                                                                               "
"R281","72ND STREET-CENTRAL PK WEST   ",23372,1712,64,311,19,7703,15027,0,0,0,0,263,0,37,547,314,177,0,249,0,0,0,1125,"                                                                                                                               "
"R282","SPRING STREET-6TH AVENUE      ",31510,1155,95,211,126,8145,21036,0,0,0,0,299,0,309,999,503,230,0,259,0,0,0,2173,"                                                                                                                               "
"R283","LAFAYETTE AVENUE-FULTON ST    ",10705,395,51,122,2,4008,8332,0,0,0,0,65,0,2,351,88,80,0,113,0,0,0,3117,"                                                                                                                               "
"R284","CLINTON AVENUE-FULTON ST      ",13169,380,57,135,1,4232,12361,0,0,0,0,76,0,7,630,117,120,0,116,0,0,0,1802,"                                                                                                                               "
"R285","MOTT AVENUE-BEACH 22ND ST     ",10550,427,58,162,1,3962,3002,0,0,0,0,16,0,5,153,32,12,0,22,0,0,0,2470,"                                                                                                                               "
"R286","MYRTLE AVENUE-MARCY AVENUE    ",9679,274,36,78,2,5113,6748,0,0,0,0,23,0,0,218,23,30,0,66,0,0,0,2146,"                                                                                                                               "
"R287","CLASSON AVENUE-LAFAYETTE AV   ",9597,230,44,48,0,3665,7357,0,0,0,0,24,0,1,276,96,78,0,65,0,0,0,1839,"                                                                                                                               "
"R288","7TH AVENUE-9TH STREET         ",26012,1430,59,317,2,5066,24767,0,0,0,0,241,0,16,1060,460,308,0,175,0,0,0,5339,"                                                                                                                               "
"R289","FT HAMILTON PKY-GREENWOOD     ",10748,732,43,127,0,2596,10921,0,0,0,0,138,0,10,426,203,170,0,87,0,0,0,2052,"                                                                                                                               "
"R290","HOUSTON STREET-VARICK ST      ",36314,2229,170,496,340,8467,24975,0,0,0,0,301,0,1006,1483,583,315,0,203,0,0,0,1973,"                                                                                                                               "
"R291","33RD STREET-QUEENS BLVD       ",30079,982,94,358,51,11297,22912,0,0,0,0,138,0,110,1344,185,96,0,122,0,0,0,13122,"                                                                                                                               "
"R292","BAYCHESTER AVE-TILLOTSON      ",9511,286,21,50,2,3366,3021,0,0,0,0,41,0,2,294,19,10,0,40,0,0,0,4873,"                                                                                                                               "
"R293","34TH STREET - PENN STATION    ",165924,6349,577,1169,5613,29283,50635,0,0,0,0,815,0,11766,2437,2403,541,0,960,0,0,0,4054,"                                                                                                                               "
"R294","MORGAN AVENUE-HARRISON PL     ",15029,209,24,70,4,7394,13725,0,0,0,0,44,0,0,247,91,118,0,153,0,0,0,2206,"                                                                                                                               "
"R295","WILSON AVENUE-MOFFAT STREET   ",7868,192,56,42,0,4909,4222,0,0,0,0,9,0,0,202,16,28,0,10,0,0,0,2052,"                                                                                                                               "
"R296","163RD ST & AMSTERDAM AVE      ",7764,426,65,117,0,4977,5205,0,0,0,0,21,0,7,257,17,39,0,30,0,0,0,2130,"                                                                                                                               "
"R297","FRANKLIN AVENUE-FULTON ST     ",12085,489,85,206,5,7549,9494,0,0,0,0,17,0,0,417,86,55,0,88,0,0,0,2355,"                                                                                                                               "
"R298","NORTHERN BLVD-BROADWAY        ",13484,944,67,307,2,5645,12688,0,0,0,0,92,0,11,503,98,93,0,45,0,0,0,1706,"                                                                                                                               "
"R299","BROADWAY - UNION AVENUE       ",6040,388,29,153,0,3323,5478,0,0,0,0,12,0,0,199,19,36,0,21,0,0,0,2177,"                                                                                                                               "
"R300","2ND AVENUE-HOUSTON STREET     ",39743,1476,125,466,47,12008,30228,0,0,0,0,272,0,57,1423,428,239,0,366,0,0,0,3939,"                                                                                                                               "
"R301","YORK STREET-JAY STREET        ",16935,466,33,161,12,5139,15521,0,0,0,0,139,0,37,340,224,152,0,139,0,0,0,1145,"                                                                                                                               "
"R302","57TH STREET-6TH AVENUE        ",35269,1656,122,329,108,8982,23094,0,0,0,0,374,0,241,1564,599,231,0,273,0,0,0,546,"                                                                                                                               "
"R303","21ST STREET-QUEENSBRIDGE      ",15455,1089,202,575,16,9957,11502,0,0,0,0,72,0,5,668,56,32,0,137,0,0,0,1887,"                                                                                                                               "
"R304","RECTOR STREET-GREENWICH ST    ",25747,1136,76,217,298,6964,14333,0,0,0,0,200,0,868,710,340,218,0,203,0,0,0,1512,"                                                                                                                               "
"R306","238TH STREET-BROADWAY         ",7726,404,31,98,5,2012,4492,0,0,0,0,55,0,0,306,81,25,0,32,0,0,0,1016,"                                                                                                                               "
"R307","138TH ST-GRAND CONCOURSE      ",7973,215,59,81,1,3696,3314,0,0,0,0,9,0,10,218,28,21,0,21,0,0,0,1040,"                                                                                                                               "
"R308","MT EDEN AVENUE-JEROME AVE     ",13905,592,112,206,0,8096,5341,0,0,0,0,22,0,6,435,10,22,0,27,0,0,0,3296,"                                                                                                                               "
"R309","176TH STREET-JEROME AVENUE    ",12205,431,85,222,0,8431,5205,0,0,0,0,9,0,1,398,5,13,0,31,0,0,0,3966,"                                                                                                                               "
"R310","111TH STREET-ROOSEVELT AVE    ",26758,820,109,262,4,14537,10728,0,0,0,0,37,0,11,339,54,19,0,39,0,0,0,4191,"                                                                                                                               "
"R311","BOWERY STREET-DELANCEY ST     ",5800,414,28,436,7,2539,6235,0,0,0,0,21,0,2,172,32,31,0,71,0,0,0,747,"                                                                                                                               "
"R312","WEST 6TH STREET-SURF AVENUE   ",5569,636,22,128,4,1234,2873,0,0,0,0,87,0,2,93,31,5,0,30,0,0,0,820,"                                                                                                                               "
"R313","BUSHWICK AVENUE-ABERDEEN ST   ",2734,143,9,38,0,1841,1420,0,0,0,0,7,0,0,80,0,18,0,17,0,0,0,1443,"                                                                                                                               "
"R314","103RD ST-CENTRAL PARK WEST    ",9368,694,66,236,5,4830,8473,0,0,0,0,47,0,5,270,83,104,0,78,0,0,0,1882,"                                                                                                                               "
"R315","155TH STREET-8TH AVENUE       ",8566,540,86,224,1,5299,3974,0,0,0,0,5,0,0,291,3,23,0,14,0,0,0,2687,"                                                                                                                               "
"R316","FLUSHING AVENUE-MARCY AVE     ",5187,176,19,63,2,2495,2492,0,0,0,0,34,0,1,155,14,17,0,30,0,0,0,1207,"                                                                                                                               "
"R317","LAFAYETTE AV-WASHINGTON AV    ",10609,366,21,100,7,3024,9000,0,0,0,0,65,0,6,401,108,82,0,86,0,0,0,1846,"                                                                                                                               "
"R318","FULTON STREET-LAFAYETTE AV    ",6111,184,28,67,5,3073,6629,0,0,0,0,24,0,22,225,63,60,0,52,0,0,0,6608,"                                                                                                                               "
"R319","63RD STREET-LEXINGTON AVE     ",31988,1956,100,468,50,9246,26602,0,0,0,0,354,0,111,1403,459,201,0,168,0,0,0,1523,"                                                                                                                               "
"R320","CANAL STREET-VARICK STREET    ",14784,495,39,125,85,4231,8838,0,0,0,0,101,0,233,484,164,94,0,116,0,0,0,1146,"                                                                                                                               "
"R321","18TH STREET-7TH AVENUE        ",21554,1322,69,297,138,5384,13481,0,0,0,0,156,0,256,701,309,145,0,155,0,0,0,1934,"                                                                                                                               "
"R322","SPRING STREET-LAFAYETTE ST    ",33231,1195,56,198,81,10841,20204,0,0,0,0,224,0,252,684,387,213,0,363,0,0,0,1045,"                                                                                                                               "
"R323","111TH STREET-LENOX AVENUE     ",16263,844,190,413,6,9875,14311,0,0,0,0,82,0,50,785,114,123,0,90,0,0,0,4799,"                                                                                                                               "
"R324","116TH STREET-LENOX AVENUE     ",20131,990,235,463,6,13497,17292,0,0,0,0,64,0,45,1039,97,107,0,69,0,0,0,4815,"                                                                                                                               "
"R325","WHITLOCK AVE-WESTCHESTER AV   ",3529,123,5,30,0,2364,1425,0,0,0,0,6,0,3,77,2,2,0,13,0,0,0,1390,"                                                                                                                               "
"R326","ZEREGA AVE-WESTCHESTER AVE    ",7439,338,64,92,3,2781,3228,0,0,0,0,60,0,10,162,36,6,0,17,0,0,0,1511,"                                                                                                                               "
"R327","52ND STREET-ROOSEVELT AVE     ",13726,1033,65,265,1,6221,13616,0,0,0,0,65,0,14,508,79,71,0,60,0,0,0,1741,"                                                                                                                               "
"R328","WILLETS PT BLVD-ROOSEVELT     ",18727,706,48,86,28,4308,5811,0,0,0,0,137,0,45,354,255,59,0,105,0,0,0,1240,"                                                                                                                               "
"R329","MORRIS PARK-PAULDING AVENUE   ",5883,214,6,26,0,1134,2571,0,0,0,0,46,0,1,222,55,15,0,16,0,0,0,845,"                                                                                                                               "
"R330","3RD AVENUE-14TH STREET        ",14435,502,52,138,7,4946,13106,0,0,0,0,79,0,51,595,141,112,0,146,0,0,0,1311,"                                                                                                                               "
"R331","155TH STREET-ST NICHOLAS AV   ",4770,334,58,171,2,3137,3726,0,0,0,0,10,0,0,187,13,30,0,23,0,0,0,1219,"                                                                                                                               "
"R332","135TH STREET-ST NICHOLAS AV   ",9031,471,77,182,1,5052,8170,0,0,0,0,36,0,5,544,86,68,0,45,0,0,0,5110,"                                                                                                                               "
"R333","116TH STREET-8TH AVENUE       ",11151,478,133,249,9,6883,11404,0,0,0,0,57,0,14,597,91,101,0,86,0,0,0,2638,"                                                                                                                               "
"R334","110TH STREET-8TH AVENUE       ",13578,857,93,378,6,6518,13194,0,0,0,0,62,0,12,609,167,157,0,115,0,0,0,2512,"                                                                                                                               "
"R335","GASTON AVENUE-BEACH 67TH ST   ",5633,202,34,52,2,1907,1757,0,0,0,0,9,0,5,99,41,16,0,19,0,0,0,1438,"                                                                                                                               "
"R336","STRAITON AVE-BEACH 60TH ST    ",5608,232,33,36,0,2467,1714,0,0,0,0,12,0,0,215,11,8,0,28,0,0,0,1830,"                                                                                                                               "
"R337","FRANK AVENUE-BEACH 44TH ST    ",1558,64,9,26,0,575,454,0,0,0,0,4,0,0,43,5,5,0,14,0,0,0,485,"                                                                                                                               "
"R338","EDGEMERE-BEACH 36TH STREET    ",2264,99,11,22,0,741,645,0,0,0,0,8,0,0,38,3,5,0,14,0,0,0,629,"                                                                                                                               "
"R339","36TH STREET-NORTHERN BLVD     ",10256,526,66,98,8,3691,5616,0,0,0,0,54,0,20,848,40,60,0,36,0,0,0,1444,"                                                                                                                               "
"R340","65TH STREET-BROADWAY          ",7357,457,35,73,1,2817,7246,0,0,0,0,42,0,1,197,11,49,0,26,0,0,0,1135,"                                                                                                                               "
"R341","75TH AVENUE-QUEENS BLVD       ",8426,1049,34,210,0,1437,7330,0,0,0,0,100,0,6,338,204,71,0,40,0,0,0,567,"                                                                                                                               "
"R342","VAN WYCK BLVD-METROPOLITAN    ",14955,526,86,163,4,5200,6120,0,0,0,0,34,0,13,280,54,41,0,91,0,0,0,1443,"                                                                                                                               "
"R343","FRANKLIN STREET-WEST BWAY     ",16142,834,44,155,183,3588,9127,0,0,0,0,140,0,296,289,237,102,0,86,0,0,0,529,"                                                                                                                               "
"R344","145TH STREET-LENOX AVENUE     ",6348,438,105,199,0,3962,4384,0,0,0,0,4,0,4,292,14,16,0,10,0,0,0,1895,"                                                                                                                               "
"R345","148TH STREET-LENOX AVENUE     ",6600,459,112,171,5,4116,5380,0,0,0,0,9,0,1,320,19,46,0,15,0,0,0,3177,"                                                                                                                               "
"R346","COURT SQ                      ",8596,384,57,112,93,3657,6840,0,0,0,0,41,0,192,147,133,78,0,26,0,0,0,1188,"                                                                                                                               "
"R347","69TH STREET-ROOSEVELT AVE     ",10249,508,55,237,0,5333,8953,0,0,0,0,23,0,6,291,27,46,0,38,0,0,0,1523,"                                                                                                                               "
"R348","ATLANTIC AV-VAN SINDEREN AV   ",3543,87,35,44,10,1952,1034,0,0,0,0,2,0,16,84,7,4,0,3,0,0,0,1080,"                                                                                                                               "
"R349","SUTTER AVE-VAN SINDEREN AVE   ",10151,303,67,70,4,6014,2725,0,0,0,0,12,0,1,231,0,12,0,14,0,0,0,4741,"                                                                                                                               "
"R350","LIVONIA AVE-VAN SINDEREN AV   ",6133,277,42,59,5,4074,2491,0,0,0,0,13,0,1,182,1,6,0,16,0,0,0,3470,"                                                                                                                               "
"R352","HEWES STREET-BROADWAY         ",6827,224,30,50,0,2752,4071,0,0,0,0,23,0,0,149,41,21,0,49,0,0,0,1068,"                                                                                                                               "
"R353","LORIMER STREET-BROADWAY       ",8403,747,48,516,2,3141,9960,0,0,0,0,28,0,7,321,59,33,0,26,0,0,0,2747,"                                                                                                                               "
"R354","104TH STREET-LIBERTY AVENUE   ",5187,152,8,40,0,1132,1925,0,0,0,0,50,0,0,88,45,1,0,8,0,0,0,756,"                                                                                                                               "
"R355","109TH STREET-LIBERTY AVENUE   ",7430,175,10,56,0,1624,2887,0,0,0,0,74,0,4,183,23,21,0,17,0,0,0,759,"                                                                                                                               "
"R356","LEFFERTS BLVD-LIBERTY AVE     ",17562,566,65,153,8,5872,8148,0,0,0,0,153,0,8,353,56,36,0,32,0,0,0,1671,"                                                                                                                               "
"R357","NORTH CONDUIT AVE-COHANCEY    ",7470,1506,135,274,0,1701,2076,0,0,0,0,51,0,1,113,37,13,0,38,0,0,0,249,"                                                                                                                               "
"R358","BEACH 25TH STREET-WAVECREST   ",4592,156,18,17,0,1164,1128,0,0,0,0,3,0,0,128,6,8,0,19,0,0,0,2138,"                                                                                                                               "
"R359","COURT SQ-23 ST                ",32945,1275,134,341,146,8911,24479,0,0,0,0,182,0,293,780,550,236,0,116,0,0,0,4400,"                                                                                                                               "
"R360","21ST STREET-JACKSON AVENUE    ",2668,82,14,19,1,1467,2189,0,0,0,0,11,0,15,106,14,18,0,2,0,0,0,76,"                                                                                                                               "
"R361","PELHAM PKWY-WHITE PLAINS RD   ",17361,948,140,313,2,10811,10248,0,0,0,0,82,0,5,972,73,43,0,54,0,0,0,5229,"                                                                                                                               "
"R362","ALLERTON AV-WHITE PLAINS RD   ",12571,576,97,188,6,6566,4751,0,0,0,0,46,0,7,325,14,15,0,22,0,0,0,2500,"                                                                                                                               "
"R363","BURKE AVE-WHITE PLAINS ROAD   ",8888,395,55,127,1,4502,2990,0,0,0,0,39,0,0,334,17,7,0,19,0,0,0,2334,"                                                                                                                               "
"R364","GUNHILL RD-WHITE PLAINS RD    ",12334,581,109,231,0,8729,5505,0,0,0,0,19,0,2,487,8,16,0,91,0,0,0,7034,"                                                                                                                               "
"R365","219TH ST-WHITE PLAINS ROAD    ",8486,263,66,95,1,4057,2916,0,0,0,0,32,0,1,201,5,13,0,33,0,0,0,2973,"                                                                                                                               "
"R366","225TH ST-WHITE PLAINS ROAD    ",10548,369,72,123,1,5020,3114,0,0,0,0,33,0,0,277,18,7,0,33,0,0,0,5210,"                                                                                                                               "
"R367","233RD ST-WHITE PLAINS ROAD    ",12022,617,122,177,1,6361,4382,0,0,0,0,44,0,1,348,22,10,0,42,0,0,0,3309,"                                                                                                                               "
"R368","9TH AVENUE-39TH STREET        ",11726,419,24,238,7,3474,10200,0,0,0,0,70,0,9,233,34,29,0,20,0,0,0,3033,"                                                                                                                               "
"R369","FORT HAMILTON PKWY-45TH ST    ",8494,535,20,134,20,2387,4871,0,0,0,0,37,0,13,109,46,24,0,18,0,0,0,2164,"                                                                                                                               "
"R370","71ST STREET-NEW UTRECHT AVE   ",9121,466,5,254,0,1837,8355,0,0,0,0,84,0,3,273,34,1,0,7,0,0,0,1501,"                                                                                                                               "
"R371","79TH STREET-17TH AVENUE       ",10940,577,23,314,8,2118,11743,0,0,0,0,165,0,3,301,79,52,0,36,0,0,0,5278,"                                                                                                                               "
"R372","18TH AVENUE-86TH STREET       ",11476,672,45,385,6,2656,10622,0,0,0,0,102,0,11,263,59,27,0,30,0,0,0,1686,"                                                                                                                               "
"R373","20TH AVENUE-86TH STREET       ",10855,677,43,255,9,2199,8563,0,0,0,0,96,0,0,206,27,12,0,20,0,0,0,1785,"                                                                                                                               "
"R374","BAY PARKWAY-86TH STREET       ",12108,929,49,502,14,2851,12353,0,0,0,0,134,0,2,367,101,40,0,23,0,0,0,2187,"                                                                                                                               "
"R375","NEW LOTS AV-VAN SINDEREN AV   ",7734,204,52,87,0,5851,3535,0,0,0,0,14,0,12,274,3,12,0,20,0,0,0,2811,"                                                                                                                               "
"R376","EAST 105TH ST-FARRAGUT ROAD   ",9261,295,56,77,3,4053,3275,0,0,0,0,18,0,4,279,10,55,0,24,0,0,0,2023,"                                                                                                                               "
"R377","FLUSHING AVE-BROADWAY         ",21292,961,126,233,1,9804,8628,0,0,0,0,35,0,16,1294,45,76,0,92,0,0,0,3726,"                                                                                                                               "
"R378","MYRTLE AVENUE-BROADWAY        ",20501,693,95,334,2,11495,14301,0,0,0,0,43,0,2,570,57,123,0,83,0,0,0,3441,"                                                                                                                               "
"R379","KOSCIUSZKO STREET-BROADWAY    ",9766,306,62,151,4,5899,5514,0,0,0,0,20,0,4,220,30,42,0,56,0,0,0,2457,"                                                                                                                               "
