"REMOTE"," STATION","FF","SEN/DIS"," 7-D AFAS UNL","30-D AFAS/RMF UNL","JOINT RR TKT","7-D UNL","30-D UNL","14-D RFM UNL","1-D UNL","14-D UNL","7D-XBUS PASS","TCMC","LIB SPEC SEN","RR UNL NO TRADE","TCMC ANNUAL MC","MR EZPAY EXP","MR EZPAY UNL","PATH 2-T","AIRTRAIN FF","AIRTRAIN 30-D","AIRTRAIN 10-T","AIRTRAIN MTHLY","STUDENTS","                                                                                          "
"R110","FLATBUSH AVE & NOSTRAND AV    ",31146,1471,321,686,20,17181,24725,0,0,0,0,198,0,31,2064,229,119,0,135,0,0,0,5649,"                                                                                                                               "
"R111","23RD STREET & 8TH AVENUE      ",52107,3641,255,1098,56,17154,41407,0,0,0,0,464,0,103,1709,661,413,0,529,0,0,0,5749,"                                                                                                                               "
"R112","FORDHAM RD/GRAND CONCOURSE    ",24529,803,166,388,17,15818,11439,0,0,0,0,40,0,51,733,48,42,0,76,0,0,0,3995,"                                                                                                                               "
"R113","SEVENTH AVENUE & WEST 53RD    ",39728,1192,72,274,449,9892,19102,0,0,0,0,431,0,764,2366,646,221,0,490,0,0,0,961,"                                                                                                                               "
"R114","PARSONS BLVD & HILLSIDE AV    ",11837,733,84,254,0,5568,8416,0,0,0,0,55,0,3,557,50,43,0,54,0,0,0,3424,"                                                                                                                               "
"R115","169TH STREET & HILLSIDE AVE   ",18104,935,112,344,5,6115,13147,0,0,0,0,90,0,6,472,94,73,0,105,0,0,0,4757,"                                                                                                                               "
"R116","50TH STREET & 7TH AVENUE      ",69650,2956,221,679,908,19667,37791,0,0,0,0,662,0,1483,2394,1205,403,0,540,0,0,0,5159,"                                                                                                                               "
"R117","242ND STREET & BROADWAY       ",9239,442,31,157,6,4371,6566,0,0,0,0,59,0,9,438,100,14,0,33,0,0,0,1494,"                                                                                                                               "
"R118","CANAL STREET                  ",20595,2807,77,1702,18,4963,27285,0,0,0,0,165,0,56,588,149,122,0,120,0,0,0,2275,"                                                                                                                               "
"R119","FORDHAM ROAD & JEROME AVE     ",26280,968,216,377,2,18502,11718,0,0,0,0,25,0,11,814,57,51,0,90,0,0,0,4922,"                                                                                                                               "
"R120","MORRISON AVE & WESTCHESTER    ",13623,497,79,161,0,9483,5374,0,0,0,0,23,0,5,366,13,13,0,20,0,0,0,3386,"                                                                                                                               "
"R121","QUEENSBORO PLAZA              ",20338,674,102,288,80,10803,15420,0,0,0,0,72,0,201,752,188,111,0,145,0,0,0,5336,"                                                                                                                               "
"R122","90TH STREET/ELMHURST AVENUE   ",38849,1719,175,458,13,19361,22211,0,0,0,0,91,0,3,702,75,73,0,74,0,0,0,6221,"                                                                                                                               "
"R123","FRANKLIN AVE/EASTERN PKWY     ",31046,1366,240,446,26,14937,25956,0,0,0,0,108,0,14,1600,104,205,0,106,0,0,0,7749,"                                                                                                                               "
"R124","KINGSTON AVE/EASTERN PKWY     ",11590,740,101,226,1,4671,5334,0,0,0,0,41,0,0,333,52,21,0,25,0,0,0,2446,"                                                                                                                               "
"R125","BROAD STREET & WALL STREET    ",12686,462,38,103,15,3013,8240,0,0,0,0,225,0,10,651,176,114,0,62,0,0,0,2255,"                                                                                                                               "
"R126","175TH STREET/FT WASHINGTON    ",36560,1859,134,365,8,10931,17350,0,0,0,0,221,0,14,831,238,166,0,145,0,0,0,2945,"                                                                                                                               "
"R127","JAY ST-METROTECH              ",77903,3699,454,1170,81,27662,51641,0,0,0,0,328,0,185,2193,736,472,0,434,0,0,0,11567,"                                                                                                                               "
"R128","SUTPHIN BLVD-HILLSIDE AVE     ",11158,624,61,187,6,4092,6660,0,0,0,0,60,0,10,212,32,34,0,42,0,0,0,1240,"                                                                                                                               "
"R129","BERGEN STREET-SMITH STREET    ",24896,1144,67,251,7,6360,22751,0,0,0,0,211,0,21,1203,357,186,0,162,0,0,0,4805,"                                                                                                                               "
"R130","KINGS HIGHWAY-MCDONALD AVE    ",7950,665,44,204,4,2512,5405,0,0,0,0,91,0,1,140,78,22,0,20,0,0,0,1285,"                                                                                                                               "
"R131","23RD STREET-PARK AVE SOUTH    ",71453,3784,318,929,344,16914,52554,0,0,0,0,753,0,680,2310,1104,552,0,402,0,0,0,5002,"                                                                                                                               "
"R132","125TH STREET-LEXINGTON AVE    ",57509,3017,569,1501,349,33226,34688,0,0,0,0,197,0,979,2068,373,239,0,179,0,0,0,8101,"                                                                                                                               "
"R133","MOSHOLU PARKWAY-JEROME AVE    ",19944,1081,168,312,9,9495,9580,0,0,0,0,24,0,9,940,68,51,0,93,0,0,0,8550,"                                                                                                                               "
"R134","HUNTERS PT AVE-49TH AVE       ",15079,535,54,133,852,3417,5977,0,0,0,0,80,0,1437,975,329,38,0,44,0,0,0,112,"                                                                                                                               "
"R135","NEWKIRK AVE-NOSTRAND AVE      ",14118,704,133,250,6,7322,7281,0,0,0,0,65,0,13,643,18,30,0,37,0,0,0,3362,"                                                                                                                               "
"R136","SHEEPSHEAD BAY ROAD           ",29433,2275,172,837,15,6588,21127,0,0,0,0,402,0,15,1303,311,92,0,62,0,0,0,5123,"                                                                                                                               "
"R137","MYRTLE AVE-GATES AVENUE       ",35714,1167,174,407,13,17461,24249,0,0,0,0,109,0,3,864,63,125,0,108,0,0,0,7635,"                                                                                                                               "
"R138","WEST 4TH ST-WASHINGTON SQ     ",97317,5037,312,1031,156,28858,70271,0,0,0,0,796,0,415,2758,1421,795,0,1117,0,0,0,3474,"                                                                                                                               "
"R139","CANAL STREET-LISPENARD ST     ",50017,1609,132,351,348,11451,30069,0,0,0,0,392,0,1029,1117,742,332,0,414,0,0,0,2168,"                                                                                                                               "
"R140","QUEENS PLAZA-JACKSON AVE      ",19301,788,109,409,65,8074,14564,0,0,0,0,81,0,120,1082,237,169,0,134,0,0,0,4960,"                                                                                                                               "
"R141","71ST AVE-CONTINENTAL AVE      ",53830,5381,310,1514,50,13710,44540,0,0,0,0,739,0,70,2244,856,402,0,219,0,0,0,5370,"                                                                                                                               "
"R142","ESSEX ST-DELANCEY ST          ",48754,2343,226,719,34,18560,36606,0,0,0,0,259,0,53,1591,378,276,0,389,0,0,0,12889,"                                                                                                                               "
"R143","28TH STREET-PARK AVE SOUTH    ",56602,2609,189,564,222,15848,36639,0,0,0,0,617,0,328,2916,664,348,0,348,0,0,0,1763,"                                                                                                                               "
"R144","96TH STREET-LEXINGTON AVE     ",54317,3584,217,916,99,16021,44311,0,0,0,0,424,0,227,3056,691,614,0,273,0,0,0,8204,"                                                                                                                               "
"R145","241ST ST-WHITE PLAINS RD      ",12702,452,69,96,4,6045,3561,0,0,0,0,17,0,1,330,19,24,0,72,0,0,0,2848,"                                                                                                                               "
"R146","HUNTS PT AVE-SOUTHERN BLVD    ",17489,644,158,308,0,14154,9851,0,0,0,0,49,0,0,745,46,32,0,33,0,0,0,4184,"                                                                                                                               "
"R147","61ST STREET-ROOSEVELT AVE     ",35210,2144,160,586,330,13509,28826,0,0,0,0,158,0,680,933,230,147,0,132,0,0,0,5098,"                                                                                                                               "
"R148","PARKSIDE AVE-OCEAN AVE        ",11873,574,124,312,4,6517,8986,0,0,0,0,45,0,4,703,48,90,0,37,0,0,0,2154,"                                                                                                                               "
"R149","NEWKIRK PLAZA                 ",20553,1472,181,485,9,8769,16056,0,0,0,0,124,0,9,798,151,112,0,33,0,0,0,4124,"                                                                                                                               "
"R150","AVENUE U-EAST 16TH STREET     ",12477,1036,71,569,11,3232,11315,0,0,0,0,102,0,0,374,90,65,0,18,0,0,0,2109,"                                                                                                                               "
"R151","STILLWELL AVE-CONEY ISLAND    ",28130,1715,149,983,2,13037,15171,0,0,0,0,61,0,3,501,81,42,0,164,0,0,0,6748,"                                                                                                                               "
"R152","ROCKAWAY PKWY-GLENWOOD RD     ",22263,701,195,364,3,14308,13331,0,0,0,0,80,0,7,1335,87,55,0,46,0,0,0,5708,"                                                                                                                               "
"R153","UTICA AVE-STUYVESANT AVE      ",25211,910,249,372,6,18419,17170,0,0,0,0,82,0,21,1151,73,89,0,141,0,0,0,7265,"                                                                                                                               "
"R154","TREMONT AVE-179TH ST          ",16309,559,172,288,1,13189,8822,0,0,0,0,39,0,23,669,24,30,0,61,0,0,0,3399,"                                                                                                                               "
"R155","KINGSBRIDGE RD-196TH ST       ",15757,585,111,234,6,9437,7251,0,0,0,0,31,0,8,617,27,30,0,30,0,0,0,3967,"                                                                                                                               "
"R156","BEDFORD PARK BLVD-203RD ST    ",12318,630,94,224,2,6300,7593,0,0,0,0,42,0,3,589,42,36,0,34,0,0,0,3407,"                                                                                                                               "
"R157","205TH ST-BAINBRIDGE AVE       ",15820,611,127,266,1,9002,9142,0,0,0,0,41,0,18,706,44,43,0,98,0,0,0,3008,"                                                                                                                               "
"R158","UNION TURNPIKE-KEW GARDENS    ",37686,2737,318,1260,42,17070,40502,0,0,0,0,286,0,73,2275,427,198,0,139,0,0,0,3663,"                                                                                                                               "
"R159","116TH STREET-COLUMBIA         ",43988,1964,132,418,111,9582,21987,0,0,0,0,173,0,221,575,623,301,0,571,0,0,0,1066,"                                                                                                                               "
"R160","ASTOR PLACE-4 AVENUE          ",44941,2258,104,418,109,12791,30649,0,0,0,0,313,0,355,1028,549,345,0,382,0,0,0,2162,"                                                                                                                               "
"R161","KINGSBRIDGE RD-JEROME AVE     ",20889,830,138,310,6,12462,10250,0,0,0,0,44,0,5,742,41,37,0,51,0,0,0,7245,"                                                                                                                               "
"R162","ELDER AVE-WESTCHESTER AVE     ",14770,467,73,78,0,8941,4947,0,0,0,0,37,0,3,207,16,27,0,23,0,0,0,4754,"                                                                                                                               "
"R163","14TH STREET-6TH AVENUE        ",56857,2571,213,767,46,15904,43563,0,0,0,0,495,0,88,2150,740,457,0,391,0,0,0,3982,"                                                                                                                               "
"R164","66TH STREET-BROADWAY          ",52295,5263,262,908,239,15358,36153,0,0,0,0,390,0,774,1365,770,378,0,455,0,0,0,13055,"                                                                                                                               "
"R165","TOMPKINSVILLE                 ",2573,41,13,21,0,435,362,0,0,0,0,1,0,0,6,7,0,0,12,0,0,0,273,"                                                                                                                               "
"R166","79TH STREET-BROADWAY          ",37493,3698,200,787,25,12585,29105,0,0,0,0,321,0,133,1068,588,254,0,347,0,0,0,2509,"                                                                                                                               "
"R167","86TH STREET-BROADWAY          ",41721,4627,261,978,24,13862,35895,0,0,0,0,339,0,130,1297,685,375,0,260,0,0,0,5057,"                                                                                                                               "
"R168","96TH STREET-BROADWAY          ",77708,8720,575,2288,60,31110,73562,0,0,0,0,690,0,196,2961,1140,731,0,489,0,0,0,8941,"                                                                                                                               "
"R169","137TH STREET-BROADWAY         ",28426,1388,225,375,30,16422,24143,0,0,0,0,51,0,29,1066,178,226,0,134,0,0,0,7673,"                                                                                                                               "
"R170","14TH STREET-UNION SQUARE      ",248286,12351,877,3347,616,81078,200908,0,0,0,0,2041,0,1502,8165,3078,1903,0,1729,0,0,0,20608,"                                                                                                                               "
"R171","7TH AVENUE-PARK PLACE         ",19789,1062,70,257,3,4816,22646,0,0,0,0,201,0,8,1088,339,235,0,111,0,0,0,1896,"                                                                                                                               "
"R172","BRIGHTON BEACH-CONEY ISLAND   ",27844,2533,137,762,19,9785,18922,0,0,0,0,129,0,18,470,137,30,0,113,0,0,0,5632,"                                                                                                                               "
"R173","207TH STREET-BROADWAY         ",20980,1275,205,488,6,10583,18588,0,0,0,0,83,0,19,927,184,116,0,95,0,0,0,3314,"                                                                                                                               "
"R174","181ST STREET-FT WASH AVE      ",21925,1637,113,460,1,8039,21881,0,0,0,0,155,0,8,968,243,184,0,124,0,0,0,2958,"                                                                                                                               "
"R175","8TH AVENUE-14TH STREET        ",96060,3610,347,1247,300,34026,72499,0,0,0,0,729,0,562,4012,1430,698,0,1048,0,0,0,12316,"                                                                                                                               "
"R176","33RD STREET-PARK AVENUE       ",75245,3966,180,771,142,20742,50737,0,0,0,0,820,0,264,2427,980,435,0,563,0,0,0,4882,"                                                                                                                               "
"R177","68TH STREET-HUNTER COLLEGE    ",88706,6235,252,1030,328,20221,56316,0,0,0,0,653,0,684,2636,1271,544,0,437,0,0,0,7483,"                                                                                                                               "
"R178","77TH STREET-LEXINGTON AVE     ",91613,7343,304,1140,197,24428,61173,0,0,0,0,868,0,495,2506,1206,625,0,610,0,0,0,6145,"                                                                                                                               "
"R179","86TH STREET-LEXINGTON AVE     ",140982,10411,512,1964,151,43267,117129,0,0,0,0,1550,0,643,5588,2274,1340,0,849,0,0,0,7811,"                                                                                                                               "
"R180","103RD STREET-LEXINGTON AVE    ",33656,1945,205,646,25,16710,22000,0,0,0,0,107,0,72,1140,185,116,0,139,0,0,0,8413,"                                                                                                                               "
"R181","110TH STREET-LEXINGTON AVE    ",24020,1500,182,454,6,14145,18110,0,0,0,0,103,0,29,782,117,137,0,65,0,0,0,6068,"                                                                                                                               "
"R182","116TH STREET-LEXINGTON AVE    ",31203,1551,314,578,7,21150,23108,0,0,0,0,48,0,39,1078,117,102,0,104,0,0,0,8738,"                                                                                                                               "
"R183","BEDFORD PARK BLVD-JEROME AV   ",10781,387,68,193,2,6053,5991,0,0,0,0,21,0,3,366,50,30,0,25,0,0,0,7801,"                                                                                                                               "
"R184","CORTELYOU RD-EAST 16TH ST     ",14165,843,87,216,18,5365,11136,0,0,0,0,83,0,9,569,89,89,0,47,0,0,0,3505,"                                                                                                                               "
"R185","DYCKMAN STREET-BROADWAY       ",18218,1112,111,352,1,8512,13367,0,0,0,0,74,0,9,630,77,91,0,63,0,0,0,4371,"                                                                                                                               "
"R186","86TH ST-CENTRAL PARK WEST     ",21901,2069,117,570,26,7309,21035,0,0,0,0,234,0,76,913,333,245,0,166,0,0,0,3285,"                                                                                                                               "
"R187","81ST STREET-MUSEUM            ",28704,1738,93,386,40,12068,19974,0,0,0,0,240,0,159,942,427,170,0,328,0,0,0,1770,"                                                                                                                               "
"R188","50TH STREET-8TH AVENUE        ",41558,1880,146,620,158,14534,25255,0,0,0,0,242,0,272,1064,577,302,0,547,0,0,0,9826,"                                                                                                                               "
"R189","CHRISTOPHER ST-SHERIDAN SQ    ",28925,2038,132,431,57,9216,16778,0,0,0,0,235,0,112,660,314,162,0,331,0,0,0,804,"                                                                                                                               "
"R190","23RD STREET-7TH AVENUE        ",34040,2691,237,793,117,11756,26860,0,0,0,0,337,0,153,1080,503,276,0,275,0,0,0,4197,"                                                                                                                               "
"R191","103RD STREET-BROADWAY         ",28240,3347,180,706,8,13795,23931,0,0,0,0,131,0,68,815,345,237,0,298,0,0,0,4486,"                                                                                                                               "
"R192","110TH STREET-BROADWAY         ",36240,2876,229,792,16,12101,25753,0,0,0,0,179,0,69,888,489,328,0,338,0,0,0,3620,"                                                                                                                               "
